ID;pris;km;year;hk;kml;kmt;Groen ejerudgift;model navn;region;Koeb eller leasing;annonce;links;type
4638369;359900.0;8000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4638369;TSi
4534753;309800.0;33000.0;2018.0;150.0;18.5;8.9;1780.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Fyn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4534753;TSi
4603359;339900.0;1000.0;2020.0;115.0;22.9;11.3;3520.0;VW Touran 2,0 TDi 115 Comfort. Family DSG 7p 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-115-comfort-family-dsg-7p-5d/4603359;TDi
4503737;219800.0;87000.0;2017.0;115.0;21.7;11.4;3880.0;VW Touran 1,6 TDi 115 Comfortline 7prs 5d;Nordjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-7prs-5d/4503737;TDi
3711502;189800.0;74000.0;2015.0;105.0;21.7;12.8;3880.0;VW Touran 1,6 TDi 105 Comfortline BMT 7prs 5d;Nordjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-105-comfortline-bmt-7prs-5d/3711502;TDi
4586538;184900.0;99000.0;2017.0;115.0;21.7;11.4;3880.0;VW Touran 1,6 TDi 115 Trendline 5d;Fyn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-trendline-5d/4586538;TDi
4417157;279900.0;75000.0;2017.0;150.0;18.5;8.9;1280.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4417157;TSi
4456916;245000.0;63000.0;2017.0;115.0;21.7;11.4;3880.0;VW Touran 1,6 TDi 115 Comfortline 7prs 5d;Nordjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-7prs-5d/4456916;TDi
4578383;209800.0;135000.0;2016.0;115.0;21.7;11.4;3880.0;VW Touran 1,6 TDi 115 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-7prs-5d/4578383;TDi
4417187;349900.0;37000.0;2018.0;150.0;18.5;8.9;1780.0;VW Touran 1,4 TSi 150 Highline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-highline-dsg-7prs-5d/4417187;TSi
4678568;269800.0;68000.0;2017.0;115.0;23.3;11.9;3520.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4678568;TDi
4668561;299900.0;64000.0;2017.0;150.0;18.5;8.9;1280.0;VW Touran 1,4 TSi 150 Highline DSG 7prs 5d;Koebenhavn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-highline-dsg-7prs-5d/4668561;TSi
4586391;259800.0;118000.0;2016.0;150.0;21.3;9.3;3880.0;VW Touran 2,0 TDi 150 Highline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-highline-dsg-7prs-5d/4586391;TDi
4586373;289800.0;114000.0;2016.0;190.0;21.3;8.2;3880.0;VW Touran 2,0 TDi 190 Highline DSG 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-190-highline-dsg-5d/4586373;TDi
4678570;249800.0;81000.0;2017.0;150.0;21.7;9.3;4380.0;VW Touran 2,0 TDi 150 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-comfortline-7prs-5d/4678570;TDi
4423990;329900.0;46000.0;2016.0;150.0;21.3;9.3;4380.0;VW Touran 2,0 TDi 150 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-comfortline-dsg-7prs-5d/4423990;TDi
4654182;334900.0;10000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Nordsjaelland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4654182;TSi
4668260;339000.0;9000.0;2020.0;150.0;20.0;8.9;1160.0;VW Touran 1,5 TSi 150 Highline DSG 7prs 5d;Nordjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-highline-dsg-7prs-5d/4668260;TSi
4668239;315000.0;18000.0;2019.0;115.0;26.2;11.9;3260.0;VW Touran 1,6 TDi 115 IQ.Drive DSG 7prs 5d;Nordjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-iqdrive-dsg-7prs-5d/4668239;TDi
4668262;299000.0;13000.0;2019.0;115.0;21.7;11.4;4380.0;VW Touran 1,6 TDi 115 IQ.Drive 7prs 5d;Nordjylland;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-iqdrive-7prs-5d/4668262;TDi
